,Age Groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over
      Bahamas,  Non-permanent residents,150,20,80,45,0,0
      Barbados,Total - Immigrant Status and Period of Immigration,15715,160,615,6580,4210,4150
      Barbados,  Non-immigrants,90,25,40,25,0,0
      Barbados,  Immigrants,15295,115,495,6350,4190,4140
      Barbados,    Before 1915,0,0,0,0,0,0
      Barbados,    1916 to 1920,0,0,0,0,0,0
      Barbados,    1921 to 1925,0,0,0,0,0,0
      Barbados,    1926 to 1930,0,0,0,0,0,0
      Barbados,    1931 to 1935,0,0,0,0,0,0
      Barbados,    1936 to 1940,0,0,0,0,0,0
      Barbados,    1941 to 1945,0,0,0,0,0,0
      Barbados,    1946 to 1950,130,0,0,0,20,110
      Barbados,    1951 to 1955,250,0,0,15,35,200
      Barbados,    1956 to 1960,655,0,0,95,75,485
      Barbados,    1961 to 1965,1185,0,0,110,350,715
      Barbados,    1966 to 1970,3825,0,0,695,1675,1450
      Barbados,    1970 to 1975,2970,0,0,1285,1160,525
      Barbados,    1976 to 1980,1785,0,0,1025,500,265
      Barbados,    1981 to 1985,1030,0,20,720,150,135
      Barbados,    1986 to 1990,1100,0,85,830,90,85
      Barbados,    1991 to 1995,1085,0,170,765,60,85
      Barbados,    1996 to 2000,630,40,115,415,30,35
      Barbados,    2001 to 2006,635,75,100,390,40,25
      Barbados,  Non-permanent residents,335,20,80,205,20,0
      Bermuda,Total - Immigrant Status and Period of Immigration,2540,340,435,1145,300,320
      Bermuda,  Non-immigrants,465,150,120,195,0,0
      Bermuda,  Immigrants,1925,175,265,900,285,300
      Bermuda,    Before 1915,0,0,0,0,0,0
      Bermuda,    1916 to 1920,0,0,0,0,0,0
      Bermuda,    1921 to 1925,0,0,0,0,0,0
      Bermuda,    1926 to 1930,10,0,0,0,0,10
      Bermuda,    1931 to 1935,0,0,0,0,0,0
      Bermuda,    1936 to 1940,30,0,0,0,0,30
      Bermuda,    1941 to 1945,10,0,0,0,0,0
      Bermuda,    1946 to 1950,45,0,0,0,10,30
      Bermuda,    1951 to 1955,65,0,0,0,0,65
      Bermuda,    1956 to 1960,100,0,0,15,10,75
      Bermuda,    1961 to 1965,125,0,0,55,40,35
      Bermuda,    1966 to 1970,200,0,0,95,85,20
      Bermuda,    1970 to 1975,210,0,0,140,60,10
      Bermuda,    1976 to 1980,205,0,0,170,30,10
      Bermuda,    1981 to 1985,90,0,20,60,10,0
      Bermuda,    1986 to 1990,200,0,85,95,20,0
      Bermuda,    1991 to 1995,175,0,80,85,0,0
      Bermuda,    1996 to 2000,195,55,50,80,10,10
      Bermuda,    2001 to 2006,260,110,40,105,0,0
      Bermuda,  Non-permanent residents,155,20,50,55,10,20
      Cayman Islands,Total - Immigrant Status and Period of Immigration,290,130,60,70,0,25
      Cayman Islands,  Non-immigrants,90,80,10,0,0,0
      Cayman Islands,  Immigrants,195,45,55,70,0,25
      Cayman Islands,    Before 1915,0,0,0,0,0,0
      Cayman Islands,    1916 to 1920,0,0,0,0,0,0
      Cayman Islands,    1921 to 1925,0,0,0,0,0,0
      Cayman Islands,    1926 to 1930,0,0,0,0,0,0
      Cayman Islands,    1931 to 1935,0,0,0,0,0,0
      Cayman Islands,    1936 to 1940,0,0,0,0,0,0
      Cayman Islands,    1941 to 1945,0,0,0,0,0,0
      Cayman Islands,    1946 to 1950,0,0,0,0,0,0
      Cayman Islands,    1951 to 1955,0,0,0,0,0,0
      Cayman Islands,    1956 to 1960,10,0,0,0,0,10
      Cayman Islands,    1961 to 1965,15,0,0,0,0,15
      Cayman Islands,    1966 to 1970,0,0,0,0,0,0
      Cayman Islands,    1970 to 1975,0,0,0,0,0,0
      Cayman Islands,    1976 to 1980,25,0,0,20,0,10
      Cayman Islands,    1981 to 1985,10,0,0,10,0,0
      Cayman Islands,    1986 to 1990,40,0,20,25,0,0
      Cayman Islands,    1991 to 1995,40,0,30,10,0,0
      Cayman Islands,    1996 to 2000,25,10,10,10,0,0
      Cayman Islands,    2001 to 2006,35,35,0,0,0,0
      Cayman Islands,  Non-permanent residents,0,0,0,0,0,0
      Cuba,Total - Immigrant Status and Period of Immigration,9450,840,1165,6120,680,650
      Cuba,  Non-immigrants,75,25,0,20,15,15
      Cuba,  Immigrants,8845,750,1105,5800,610,570
      Cuba,    Before 1915,0,0,0,0,0,0
      Cuba,    1916 to 1920,0,0,0,0,0,0
      Cuba,    1921 to 1925,0,0,0,0,0,0
      Cuba,    1926 to 1930,0,0,0,0,0,0
      Cuba,    1931 to 1935,0,0,0,0,0,0
      Cuba,    1936 to 1940,0,0,0,0,0,0
      Cuba,    1941 to 1945,20,0,0,0,0,20
      Cuba,    1946 to 1950,10,0,0,0,0,10
      Cuba,    1951 to 1955,30,0,0,0,15,20
      Cuba,    1956 to 1960,30,0,0,0,0,25
      Cuba,    1961 to 1965,90,0,0,30,35,30
      Cuba,    1966 to 1970,135,0,0,40,30,65
      Cuba,    1970 to 1975,100,0,0,30,20,45
      Cuba,    1976 to 1980,225,0,0,145,40,35
      Cuba,    1981 to 1985,150,0,0,80,20,45
      Cuba,    1986 to 1990,285,0,10,195,50,30
      Cuba,    1991 to 1995,1145,25,170,800,110,40
      Cuba,    1996 to 2000,2375,170,285,1680,160,70
      Cuba,    2001 to 2006,4235,555,625,2805,125,120
      Cuba,  Non-permanent residents,530,60,55,295,55,55
      Dominica,Total - Immigrant Status and Period of Immigration,2945,95,240,1675,645,285
      Dominica,  Non-immigrants,0,0,0,0,0,0
      Dominica,  Immigrants,2825,85,215,1600,645,285
      Dominica,    Before 1915,0,0,0,0,0,0
      Dominica,    1916 to 1920,0,0,0,0,0,0
      Dominica,    1921 to 1925,0,0,0,0,0,0
      Dominica,    1926 to 1930,0,0,0,0,0,0
      Dominica,    1931 to 1935,0,0,0,0,0,0
      Dominica,    1936 to 1940,0,0,0,0,0,0
      Dominica,    1941 to 1945,0,0,0,0,0,0
      Dominica,    1946 to 1950,0,0,0,0,0,0
      Dominica,    1951 to 1955,10,0,0,0,0,10
      Dominica,    1956 to 1960,0,0,0,0,0,0
      Dominica,    1961 to 1965,65,0,0,10,25,35
      Dominica,    1966 to 1970,340,0,0,40,195,105
      Dominica,    1970 to 1975,445,0,0,165,215,70
      Dominica,    1976 to 1980,435,0,0,275,135,20
      Dominica,    1981 to 1985,150,0,0,140,0,10
      Dominica,    1986 to 1990,380,0,25,320,20,10
      Dominica,    1991 to 1995,405,10,65,275,45,10
      Dominica,    1996 to 2000,260,30,55,160,15,0
      Dominica,    2001 to 2006,335,45,65,215,0,10
      Dominica,  Non-permanent residents,110,15,25,70,0,0
      Dominican Republic,Total - Immigrant Status and Period of Immigration,6935,580,1400,4125,430,400
      Dominican Republic,  Non-immigrants,155,50,55,45,0,0
      Dominican Republic,  Immigrants,6490,515,1275,3870,430,395
      Dominican Republic,    Before 1915,0,0,0,0,0,0
      Dominican Republic,    1916 to 1920,0,0,0,0,0,0
      Dominican Republic,    1921 to 1925,0,0,0,0,0,0
      Dominican Republic,    1926 to 1930,0,0,0,0,0,0
      Dominican Republic,    1931 to 1935,0,0,0,0,0,0
      Dominican Republic,    1936 to 1940,10,0,0,0,0,10
      Dominican Republic,    1941 to 1945,0,0,0,0,0,0
      Dominican Republic,    1946 to 1950,0,0,0,0,0,0
      Dominican Republic,    1951 to 1955,0,0,0,0,0,0
      Dominican Republic,    1956 to 1960,10,0,0,10,0,0
      Dominican Republic,    1961 to 1965,15,0,0,10,0,10
      Dominican Republic,    1966 to 1970,110,0,0,25,40,45
      Dominican Republic,    1970 to 1975,135,0,0,45,55,35
      Dominican Republic,    1976 to 1980,240,0,0,145,45,50
      Dominican Republic,    1981 to 1985,365,0,35,265,45,20
      Dominican Republic,    1986 to 1990,1140,0,215,820,45,55
      Dominican Republic,    1991 to 1995,1890,60,450,1200,100,75
      Dominican Republic,    1996 to 2000,1270,210,330,650,40,35
      Dominican Republic,    2001 to 2006,1305,240,245,705,55,60
      Dominican Republic,  Non-permanent residents,290,15,65,205,0,10
      Grenada,Total - Immigrant Status and Period of Immigration,9305,230,865,5855,1225,1130
      Grenada,  Non-immigrants,50,0,0,45,10,0
      Grenada,  Immigrants,8735,205,775,5425,1195,1130
      Grenada,    Before 1915,0,0,0,0,0,0
      Grenada,    1916 to 1920,0,0,0,0,0,0
      Grenada,    1921 to 1925,0,0,0,0,0,0
      Grenada,    1926 to 1930,0,0,0,0,0,0
      Grenada,    1931 to 1935,0,0,0,0,0,0
      Grenada,    1936 to 1940,0,0,0,0,0,0
      Grenada,    1941 to 1945,0,0,0,0,0,0
      Grenada,    1946 to 1950,0,0,0,0,0,0
      Grenada,    1951 to 1955,30,0,0,0,15,20
      Grenada,    1956 to 1960,40,0,0,10,0,35
      Grenada,    1961 to 1965,100,0,0,10,10,90
      Grenada,    1966 to 1970,860,0,0,110,345,405
      Grenada,    1970 to 1975,1070,0,0,455,385,230
      Grenada,    1976 to 1980,800,0,0,545,170,80
      Grenada,    1981 to 1985,720,0,0,545,65,100
      Grenada,    1986 to 1990,1220,0,90,995,65,75
      Grenada,    1991 to 1995,1235,10,180,945,55,50
      Grenada,    1996 to 2000,1430,80,230,1035,60,20
      Grenada,    2001 to 2006,1220,115,280,775,40,15
      Grenada,  Non-permanent residents,520,25,85,385,20,0
      Guadeloupe,Total - Immigrant Status and Period of Immigration,355,30,60,180,65,15
      Guadeloupe,  Non-immigrants,0,0,0,0,0,0
      Guadeloupe,  Immigrants,315,30,30,170,65,15
      Guadeloupe,    Before 1915,0,0,0,0,0,0
      Guadeloupe,    1916 to 1920,0,0,0,0,0,0
      Guadeloupe,    1921 to 1925,0,0,0,0,0,0
      Guadeloupe,    1926 to 1930,0,0,0,0,0,0
      Guadeloupe,    1931 to 1935,0,0,0,0,0,0
      Guadeloupe,    1936 to 1940,0,0,0,0,0,0
      Guadeloupe,    1941 to 1945,0,0,0,0,0,0
      Guadeloupe,    1946 to 1950,0,0,0,0,0,0
      Guadeloupe,    1951 to 1955,0,0,0,0,0,0
      Guadeloupe,    1956 to 1960,0,0,0,0,0,0
      Guadeloupe,    1961 to 1965,0,0,0,0,0,0
      Guadeloupe,    1966 to 1970,30,0,0,0,15,10
      Guadeloupe,    1970 to 1975,20,0,0,0,15,0
      Guadeloupe,    1976 to 1980,25,0,0,10,10,0
      Guadeloupe,    1981 to 1985,20,0,0,10,10,0
      Guadeloupe,    1986 to 1990,25,0,0,10,15,0
      Guadeloupe,    1991 to 1995,45,0,10,30,0,0
      Guadeloupe,    1996 to 2000,65,25,0,30,0,10
      Guadeloupe,    2001 to 2006,85,0,15,65,0,0
      Guadeloupe,  Non-permanent residents,45,0,35,10,0,0
      Haiti,Total - Immigrant Status and Period of Immigration,65215,4810,6840,37110,9465,6990
      Haiti,  Non-immigrants,360,140,90,115,10,10
      Haiti,  Immigrants,63270,4480,6510,35975,9365,6935
      Haiti,    Before 1915,0,0,0,0,0,0
      Haiti,    1916 to 1920,0,0,0,0,0,0
      Haiti,    1921 to 1925,0,0,0,0,0,0
      Haiti,    1926 to 1930,10,0,0,0,0,10
      Haiti,    1931 to 1935,0,0,0,0,0,0
      Haiti,    1936 to 1940,0,0,0,0,0,0
      Haiti,    1941 to 1945,60,0,0,0,10,45
      Haiti,    1946 to 1950,20,0,0,0,10,10
      Haiti,    1951 to 1955,40,0,0,20,0,20
      Haiti,    1956 to 1960,115,0,0,15,15,90
      Haiti,    1961 to 1965,270,0,0,45,60,160
      Haiti,    1966 to 1970,1910,0,0,430,680,805
      Haiti,    1970 to 1975,8725,0,0,3005,4130,1595
      Haiti,    1976 to 1980,7800,0,0,4900,1805,1095
      Haiti,    1981 to 1985,7200,0,205,5050,1025,915
      Haiti,    1986 to 1990,8220,0,885,6050,510,770
      Haiti,    1991 to 1995,10835,455,2145,6825,590,825
      Haiti,    1996 to 2000,7400,1335,1790,3810,190,270
      Haiti,    2001 to 2006,10675,2690,1485,5840,335,325
      Haiti,  Non-permanent residents,1590,185,245,1020,85,50
      Jamaica,Total - Immigrant Status and Period of Immigration,125070,3170,11040,69990,21695,19175
      Jamaica,  Non-immigrants,535,95,55,325,25,35
      Jamaica,  Immigrants,123160,2960,10735,68770,21580,19105
      Jamaica,    Before 1915,0,0,0,0,0,0
      Jamaica,    1916 to 1920,10,0,0,0,0,10
      Jamaica,    1921 to 1925,0,0,0,0,0,0
      Jamaica,    1926 to 1930,10,0,0,0,0,10
      Jamaica,    1931 to 1935,10,0,0,0,0,10
      Jamaica,    1936 to 1940,10,0,0,0,0,10
      Jamaica,    1941 to 1945,60,0,0,0,20,40
      Jamaica,    1946 to 1950,235,0,0,0,45,190
      Jamaica,    1951 to 1955,665,0,0,10,85,570
      Jamaica,    1956 to 1960,1620,0,0,125,310,1190
      Jamaica,    1961 to 1965,3500,0,0,495,830,2175
      Jamaica,    1966 to 1970,12500,0,0,2995,4915,4585
      Jamaica,    1970 to 1975,22690,0,0,11115,7430,4140
      Jamaica,    1976 to 1980,16115,0,0,11125,2955,2035
      Jamaica,    1981 to 1985,9800,0,145,7265,1415,975
      Jamaica,    1986 to 1990,16930,0,1615,12730,1440,1145
      Jamaica,    1991 to 1995,18340,315,3745,11955,1165,1160
      Jamaica,    1996 to 2000,11265,970,2995,6310,435,545
      Jamaica,    2001 to 2006,9410,1675,2240,4645,530,320
      Jamaica,  Non-permanent residents,1375,110,250,895,85,35
      Martinique,Total - Immigrant Status and Period of Immigration,470,20,20,265,130,35
      Martinique,  Non-immigrants,15,10,0,10,0,0
      Martinique,  Immigrants,380,15,0,205,130,35
      Martinique,    Before 1915,0,0,0,0,0,0
      Martinique,    1916 to 1920,0,0,0,0,0,0
      Martinique,    1921 to 1925,0,0,0,0,0,0
      Martinique,    1926 to 1930,0,0,0,0,0,0
      Martinique,    1931 to 1935,0,0,0,0,0,0
      Martinique,    1936 to 1940,0,0,0,0,0,0
      Martinique,    1941 to 1945,0,0,0,0,0,0
      Martinique,    1946 to 1950,0,0,0,0,0,0
      Martinique,    1951 to 1955,0,0,0,0,0,0
      Martinique,    1956 to 1960,0,0,0,0,0,0
      Martinique,    1961 to 1965,20,0,0,0,15,10
      Martinique,    1966 to 1970,30,0,0,0,20,10
      Martinique,    1970 to 1975,75,0,0,20,50,10
      Martinique,    1976 to 1980,60,0,0,45,10,10
      Martinique,    1981 to 1985,15,0,0,0,10,0
      Martinique,    1986 to 1990,30,0,0,10,20,0
      Martinique,    1991 to 1995,45,0,0,25,10,0
      Martinique,    1996 to 2000,25,0,0,25,0,0
      Martinique,    2001 to 2006,90,0,0,85,0,0
      Martinique,  Non-permanent residents,70,10,20,50,0,0
      Montserrat,Total - Immigrant Status and Period of Immigration,735,15,15,275,240,185
      Montserrat,  Non-immigrants,0,0,0,0,0,0
      Montserrat,  Immigrants,730,15,15,265,240,185
      Montserrat,    Before 1915,0,0,0,0,0,0
      Montserrat,    1916 to 1920,0,0,0,0,0,0
      Montserrat,    1921 to 1925,0,0,0,0,0,0
      Montserrat,    1926 to 1930,0,0,0,0,0,0
      Montserrat,    1931 to 1935,0,0,0,0,0,0
      Montserrat,    1936 to 1940,0,0,0,0,0,0
      Montserrat,    1941 to 1945,0,0,0,0,0,0
      Montserrat,    1946 to 1950,10,0,0,0,0,10
      Montserrat,    1951 to 1955,15,0,0,0,10,10
      Montserrat,    1956 to 1960,15,0,0,0,0,15
      Montserrat,    1961 to 1965,40,0,0,0,10,35
      Montserrat,    1966 to 1970,205,0,0,30,105,70
      Montserrat,    1970 to 1975,140,0,0,50,55,30
      Montserrat,    1976 to 1980,105,0,0,65,30,0
      Montserrat,    1981 to 1985,20,0,0,15,0,10
      Montserrat,    1986 to 1990,30,0,0,10,10,10
      Montserrat,    1991 to 1995,85,0,0,60,20,10
      Montserrat,    1996 to 2000,40,0,10,25,0,0
      Montserrat,    2001 to 2006,20,0,0,0,0,0
      Montserrat,  Non-permanent residents,0,0,0,0,0,0
      Netherlands Antilles,Total - Immigrant Status and Period of Immigration,535,35,80,280,80,70
      Netherlands Antilles,  Non-immigrants,35,10,15,0,0,0
      Netherlands Antilles,  Immigrants,495,25,50,270,80,70
      Netherlands Antilles,    Before 1915,0,0,0,0,0,0
      Netherlands Antilles,    1916 to 1920,0,0,0,0,0,0
      Netherlands Antilles,    1921 to 1925,0,0,0,0,0,0
      Netherlands Antilles,    1926 to 1930,0,0,0,0,0,0
      Netherlands Antilles,    1931 to 1935,0,0,0,0,0,0
      Netherlands Antilles,    1936 to 1940,0,0,0,0,0,0
      Netherlands Antilles,    1941 to 1945,0,0,0,0,0,0
      Netherlands Antilles,    1946 to 1950,0,0,0,0,0,0
      Netherlands Antilles,    1951 to 1955,30,0,0,0,10,20
      Netherlands Antilles,    1956 to 1960,10,0,0,0,0,10
      Netherlands Antilles,    1961 to 1965,25,0,0,0,10,15
      Netherlands Antilles,    1966 to 1970,30,0,0,15,10,10
      Netherlands Antilles,    1970 to 1975,70,0,0,45,25,10
      Netherlands Antilles,    1976 to 1980,65,0,0,55,10,0
      Netherlands Antilles,    1981 to 1985,40,0,0,25,0,0
      Netherlands Antilles,    1986 to 1990,60,0,0,50,10,0
      Netherlands Antilles,    1991 to 1995,80,0,35,40,0,0
      Netherlands Antilles,    1996 to 2000,45,25,10,15,0,0
      Netherlands Antilles,    2001 to 2006,40,0,10,25,0,0
      Netherlands Antilles,  Non-permanent residents,10,0,10,0,0,0
      Puerto Rico,Total - Immigrant Status and Period of Immigration,455,50,40,260,55,50
      Puerto Rico,  Non-immigrants,50,15,10,20,0,0
      Puerto Rico,  Immigrants,330,35,30,155,55,50
      Puerto Rico,    Before 1915,0,0,0,0,0,0
      Puerto Rico,    1916 to 1920,0,0,0,0,0,0
      Puerto Rico,    1921 to 1925,0,0,0,0,0,0
      Puerto Rico,    1926 to 1930,0,0,0,0,0,0
      Puerto Rico,    1931 to 1935,0,0,0,0,0,0
      Puerto Rico,    1936 to 1940,0,0,0,0,0,0
      Puerto Rico,    1941 to 1945,0,0,0,0,0,0
      Puerto Rico,    1946 to 1950,0,0,0,0,0,0
      Puerto Rico,    1951 to 1955,0,0,0,0,0,0
      Puerto Rico,    1956 to 1960,0,0,0,0,0,0
      Puerto Rico,    1961 to 1965,25,0,0,0,0,20
      Puerto Rico,    1966 to 1970,35,0,0,10,15,15
      Puerto Rico,    1970 to 1975,35,0,0,30,0,10
      Puerto Rico,    1976 to 1980,15,0,0,10,0,10
      Puerto Rico,    1981 to 1985,25,0,0,15,10,0
      Puerto Rico,    1986 to 1990,15,0,15,0,0,0
      Puerto Rico,    1991 to 1995,50,10,10,40,0,0
      Puerto Rico,    1996 to 2000,45,15,10,20,10,0
      Puerto Rico,    2001 to 2006,70,15,10,30,10,0
      Puerto Rico,  Non-permanent residents,80,0,0,80,0,0
      Saint Kitts and Nevis,Total - Immigrant Status and Period of Immigration,2410,20,50,1130,690,520
      Saint Kitts and Nevis,  Non-immigrants,10,0,10,0,0,0
      Saint Kitts and Nevis,  Immigrants,2360,10,35,1110,680,520
      Saint Kitts and Nevis,    Before 1915,0,0,0,0,0,0
      Saint Kitts and Nevis,    1916 to 1920,0,0,0,0,0,0
      Saint Kitts and Nevis,    1921 to 1925,0,0,0,0,0,0
      Saint Kitts and Nevis,    1926 to 1930,0,0,0,0,0,0
      Saint Kitts and Nevis,    1931 to 1935,0,0,0,0,0,0
      Saint Kitts and Nevis,    1936 to 1940,0,0,0,0,0,0
      Saint Kitts and Nevis,    1941 to 1945,0,0,0,0,0,0
      Saint Kitts and Nevis,    1946 to 1950,10,0,0,0,0,10
      Saint Kitts and Nevis,    1951 to 1955,0,0,0,0,0,0
      Saint Kitts and Nevis,    1956 to 1960,10,0,0,0,0,10
      Saint Kitts and Nevis,    1961 to 1965,170,0,0,15,60,90
      Saint Kitts and Nevis,    1966 to 1970,550,0,0,95,225,225
      Saint Kitts and Nevis,    1970 to 1975,570,0,0,330,160,80
      Saint Kitts and Nevis,    1976 to 1980,450,0,0,250,155,45
      Saint Kitts and Nevis,    1981 to 1985,175,0,0,120,15,35
      Saint Kitts and Nevis,    1986 to 1990,185,0,10,135,35,10
      Saint Kitts and Nevis,    1991 to 1995,125,0,20,80,10,15
      Saint Kitts and Nevis,    1996 to 2000,55,10,15,20,10,0
