,Age groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over,,,
      Bahamas,Total - Immigrant Status and Period of Immigration,1405,105,230,895,105,75,,,
      Bahamas,  Non-immigrants,170,30,50,75,0,0,,,
      Bahamas,  Immigrants,1115,65,130,750,95,75,,,
      Bahamas,    Before 1915,0,0,0,0,0,0,,,
      Bahamas,    1916 to 1920,0,0,0,0,0,0,,,
      Bahamas,    1921 to 1925,0,0,0,0,0,0,,,
      Bahamas,    1926 to 1930,0,0,0,0,0,0,,,
      Bahamas,    1931 to 1935,0,0,0,0,0,0,,,
      Bahamas,    1936 to 1940,10,0,0,0,0,10,,,
      Bahamas,    1941 to 1945,0,0,0,0,0,0,,,
      Bahamas,    1946 to 1950,15,0,0,0,0,15,,,
      Bahamas,    1951 to 1955,25,0,0,0,0,15,,,
      Bahamas,    1956 to 1960,35,0,0,0,20,10,,,
      Bahamas,    1961 to 1965,50,0,0,15,40,0,,,
      Bahamas,    1966 to 1970,65,0,0,40,20,0,,,
      Bahamas,    1971 to 1975,125,0,0,110,15,0,,,
      Bahamas,    1976 to 1980,230,0,20,210,0,0,,,
      Bahamas,    1981 to 1985,195,0,40,140,10,10,,,
      Bahamas,    1986 to 1990,100,0,25,70,0,10,,,
      Bahamas,    1991 to 1995,95,0,10,75,0,0,,,
      Bahamas,    1996 to 2001,165,60,35,70,0,0,,,
      Bahamas,  Non-permanent residents,125,10,50,65,0,0,,,
      Barbados,Total - Immigrant Status and Period of Immigration,15030,255,780,7640,3700,2655,,,
      Barbados,  Non-immigrants,90,0,50,40,0,0,,,
      Barbados,  Immigrants,14630,235,610,7450,3700,2640,,,
      Barbados,    Before 1915,0,0,0,0,0,0,,,
      Barbados,    1916 to 1920,0,0,0,0,0,0,,,
      Barbados,    1921 to 1925,10,0,0,0,0,10,,,
      Barbados,    1926 to 1930,0,0,0,0,0,0,,,
      Barbados,    1931 to 1935,0,0,0,0,0,0,,,
      Barbados,    1936 to 1940,0,0,0,0,0,0,,,
      Barbados,    1941 to 1945,15,0,0,0,0,15,,,
      Barbados,    1946 to 1950,125,0,0,0,15,105,,,
      Barbados,    1951 to 1955,340,0,0,50,50,245,,,
      Barbados,    1956 to 1960,695,0,0,115,200,380,,,
      Barbados,    1961 to 1965,1245,0,0,210,545,485,,,
      Barbados,    1966 to 1970,3385,0,0,1085,1635,675,,,
      Barbados,    1971 to 1975,2860,0,0,1815,760,285,,,
      Barbados,    1976 to 1980,1815,0,45,1375,230,165,,,
      Barbados,    1981 to 1985,995,0,80,680,115,115,,,
      Barbados,    1986 to 1990,1185,15,160,850,95,75,,,
      Barbados,    1991 to 1995,1215,130,220,780,45,40,,,
      Barbados,    1996 to 2001,735,95,100,485,10,45,,,
      Barbados,  Non-permanent residents,310,10,125,155,0,20,,,
      Bermuda,Total - Immigrant Status and Period of Immigration,2135,280,295,1010,195,355,,,
      Bermuda,  Non-immigrants,260,115,80,60,10,0,,,
      Bermuda,  Immigrants,1765,170,160,890,190,355,,,
      Bermuda,    Before 1915,0,0,0,0,0,0,,,
      Bermuda,    1916 to 1920,10,0,0,0,0,10,,,
      Bermuda,    1921 to 1925,10,0,0,0,0,10,,,
      Bermuda,    1926 to 1930,0,0,0,0,0,0,,,
      Bermuda,    1931 to 1935,0,0,0,0,0,0,,,
      Bermuda,    1936 to 1940,25,0,0,0,10,25,,,
      Bermuda,    1941 to 1945,30,0,0,0,15,10,,,
      Bermuda,    1946 to 1950,50,0,0,0,15,35,,,
      Bermuda,    1951 to 1955,95,0,0,15,0,80,,,
      Bermuda,    1956 to 1960,110,0,0,30,25,60,,,
      Bermuda,    1961 to 1965,105,0,0,50,30,25,,,
      Bermuda,    1966 to 1970,250,0,0,160,35,60,,,
      Bermuda,    1971 to 1975,270,0,0,225,35,10,,,
      Bermuda,    1976 to 1980,155,0,10,115,15,15,,,
      Bermuda,    1981 to 1985,185,0,40,125,15,10,,,
      Bermuda,    1986 to 1990,110,15,30,60,0,10,,,
      Bermuda,    1991 to 1995,175,55,50,70,0,0,,,
      Bermuda,    1996 to 2001,180,100,30,45,0,0,,,
      Bermuda,  Non-permanent residents,110,0,55,60,0,0,,,
      Cayman Islands,Total - Immigrant Status and Period of Immigration,135,45,30,30,10,20,,,
      Cayman Islands,  Non-immigrants,55,30,10,20,0,0,,,
      Cayman Islands,  Immigrants,70,15,20,10,10,20,,,
      Cayman Islands,    Before 1915,0,0,0,0,0,0,,,
      Cayman Islands,    1916 to 1920,0,0,0,0,0,0,,,
      Cayman Islands,    1921 to 1925,0,0,0,0,0,0,,,
      Cayman Islands,    1926 to 1930,0,0,0,0,0,0,,,
      Cayman Islands,    1931 to 1935,0,0,0,0,0,0,,,
      Cayman Islands,    1936 to 1940,0,0,0,0,0,0,,,
      Cayman Islands,    1941 to 1945,0,0,0,0,0,0,,,
      Cayman Islands,    1946 to 1950,10,0,0,0,0,10,,,
      Cayman Islands,    1951 to 1955,10,0,0,0,0,10,,,
      Cayman Islands,    1956 to 1960,0,0,0,0,0,0,,,
      Cayman Islands,    1961 to 1965,0,0,0,0,0,0,,,
      Cayman Islands,    1966 to 1970,10,0,0,0,10,0,,,
      Cayman Islands,    1971 to 1975,0,0,0,0,0,0,,,
      Cayman Islands,    1976 to 1980,0,0,0,0,0,0,,,
      Cayman Islands,    1981 to 1985,0,0,0,0,0,0,,,
      Cayman Islands,    1986 to 1990,10,0,10,0,0,0,,,
      Cayman Islands,    1991 to 1995,10,0,0,0,0,0,,,
      Cayman Islands,    1996 to 2001,20,15,0,0,0,0,,,
      Cayman Islands,  Non-permanent residents,10,0,0,0,0,0,,,
      Cuba,Total - Immigrant Status and Period of Immigration,5385,475,490,3610,365,440,,,
      Cuba,  Non-immigrants,90,20,0,55,0,0,,,
      Cuba,  Immigrants,4915,430,450,3255,350,435,,,
      Cuba,    Before 1915,0,0,0,0,0,0,,,
      Cuba,    1916 to 1920,10,0,0,0,0,10,,,
      Cuba,    1921 to 1925,10,0,0,0,0,10,,,
      Cuba,    1926 to 1930,10,0,0,0,0,10,,,
      Cuba,    1931 to 1935,10,0,0,0,0,10,,,
      Cuba,    1936 to 1940,0,0,0,0,0,0,,,
      Cuba,    1941 to 1945,10,0,0,0,0,10,,,
      Cuba,    1946 to 1950,30,0,0,0,0,30,,,
      Cuba,    1951 to 1955,30,0,0,0,0,30,,,
      Cuba,    1956 to 1960,55,0,0,0,10,45,,,
      Cuba,    1961 to 1965,45,0,0,10,30,15,,,
      Cuba,    1966 to 1970,225,0,0,100,50,80,,,
      Cuba,    1971 to 1975,125,0,0,55,40,35,,,
      Cuba,    1976 to 1980,170,0,0,100,25,35,,,
      Cuba,    1981 to 1985,330,0,35,230,45,20,,,
      Cuba,    1986 to 1990,385,0,35,285,35,30,,,
      Cuba,    1991 to 1995,955,80,45,730,55,45,,,
      Cuba,    1996 to 2001,2525,350,330,1740,60,50,,,
      Cuba,  Non-permanent residents,380,20,40,300,15,0,,,
      Dominica,Total - Immigrant Status and Period of Immigration,2815,120,265,1765,475,195,,,
      Dominica,  Non-immigrants,0,0,0,0,0,0,,,
      Dominica,  Immigrants,2700,85,245,1710,475,195,,,
      Dominica,    Before 1915,0,0,0,0,0,0,,,
      Dominica,    1916 to 1920,0,0,0,0,0,0,,,
      Dominica,    1921 to 1925,0,0,0,0,0,0,,,
      Dominica,    1926 to 1930,0,0,0,0,0,0,,,
      Dominica,    1931 to 1935,0,0,0,0,0,0,,,
      Dominica,    1936 to 1940,10,0,0,0,0,10,,,
      Dominica,    1941 to 1945,0,0,0,0,0,0,,,
      Dominica,    1946 to 1950,0,0,0,0,0,0,,,
      Dominica,    1951 to 1955,10,0,0,0,10,0,,,
      Dominica,    1956 to 1960,70,0,0,15,35,20,,,
      Dominica,    1961 to 1965,120,0,0,20,85,20,,,
      Dominica,    1966 to 1970,340,0,0,105,200,45,,,
      Dominica,    1971 to 1975,370,0,0,290,55,30,,,
      Dominica,    1976 to 1980,390,0,10,315,40,30,,,
      Dominica,    1981 to 1985,315,0,30,245,15,20,,,
      Dominica,    1986 to 1990,395,0,90,260,30,20,,,
      Dominica,    1991 to 1995,365,35,55,270,10,0,,,
      Dominica,    1996 to 2001,310,45,55,185,10,15,,,
      Dominica,  Non-permanent residents,120,35,25,60,0,0,,,
      Dominican Republic,Total - Immigrant Status and Period of Immigration,5280,755,1180,2940,185,220,,,
      Dominican Republic,  Non-immigrants,135,55,55,30,0,0,,,
      Dominican Republic,  Immigrants,4960,650,1090,2815,180,220,,,
      Dominican Republic,    Before 1915,0,0,0,0,0,0,,,
      Dominican Republic,    1916 to 1920,0,0,0,0,0,0,,,
      Dominican Republic,    1921 to 1925,0,0,0,0,0,0,,,
      Dominican Republic,    1926 to 1930,0,0,0,0,0,0,,,
      Dominican Republic,    1931 to 1935,0,0,0,0,0,0,,,
      Dominican Republic,    1936 to 1940,0,0,0,0,0,0,,,
      Dominican Republic,    1941 to 1945,0,0,0,0,0,0,,,
      Dominican Republic,    1946 to 1950,10,0,0,0,0,10,,,
      Dominican Republic,    1951 to 1955,25,0,0,15,10,0,,,
      Dominican Republic,    1956 to 1960,35,0,0,15,0,15,,,
      Dominican Republic,    1961 to 1965,30,0,0,0,15,10,,,
      Dominican Republic,    1966 to 1970,40,0,0,0,20,20,,,
      Dominican Republic,    1971 to 1975,160,0,0,100,0,55,,,
      Dominican Republic,    1976 to 1980,155,0,0,130,20,0,,,
      Dominican Republic,    1981 to 1985,455,0,110,320,10,0,,,
      Dominican Republic,    1986 to 1990,1215,100,335,700,45,30,,,
      Dominican Republic,    1991 to 1995,1695,305,385,915,40,50,,,
      Dominican Republic,    1996 to 2001,1140,245,260,605,20,20,,,
      Dominican Republic,  Non-permanent residents,185,50,40,95,0,0,,,
      Grenada,Total - Immigrant Status and Period of Immigration,8980,440,1115,5600,1070,750,,,
      Grenada,  Non-immigrants,35,0,15,15,10,0,,,
      Grenada,  Immigrants,8255,325,965,5155,1060,750,,,
      Grenada,    Before 1915,0,0,0,0,0,0,,,
      Grenada,    1916 to 1920,0,0,0,0,0,0,,,
      Grenada,    1921 to 1925,0,0,0,0,0,0,,,
      Grenada,    1926 to 1930,0,0,0,0,0,0,,,
      Grenada,    1931 to 1935,0,0,0,0,0,0,,,
      Grenada,    1936 to 1940,0,0,0,0,0,0,,,
      Grenada,    1941 to 1945,10,0,0,0,0,0,,,
      Grenada,    1946 to 1950,15,0,0,0,0,10,,,
      Grenada,    1951 to 1955,25,0,0,10,0,10,,,
      Grenada,    1956 to 1960,40,0,0,15,15,20,,,
      Grenada,    1961 to 1965,205,0,0,25,95,85,,,
      Grenada,    1966 to 1970,870,0,0,325,365,180,,,
      Grenada,    1971 to 1975,1060,0,0,610,295,155,,,
      Grenada,    1976 to 1980,915,0,25,685,105,95,,,
      Grenada,    1981 to 1985,680,0,50,540,30,60,,,
      Grenada,    1986 to 1990,1260,35,160,945,75,50,,,
      Grenada,    1991 to 1995,1560,110,325,1030,50,50,,,
      Grenada,    1996 to 2001,1605,185,410,965,20,30,,,
      Grenada,  Non-permanent residents,690,110,135,435,10,0,,,
      Guadeloupe,Total - Immigrant Status and Period of Immigration,355,30,95,200,20,10,,,
      Guadeloupe,  Non-immigrants,10,0,0,0,0,0,,,
      Guadeloupe,  Immigrants,275,25,45,170,20,10,,,
      Guadeloupe,    Before 1915,0,0,0,0,0,0,,,
      Guadeloupe,    1916 to 1920,0,0,0,0,0,0,,,
      Guadeloupe,    1921 to 1925,0,0,0,0,0,0,,,
      Guadeloupe,    1926 to 1930,0,0,0,0,0,0,,,
      Guadeloupe,    1931 to 1935,0,0,0,0,0,0,,,
      Guadeloupe,    1936 to 1940,0,0,0,0,0,0,,,
      Guadeloupe,    1941 to 1945,0,0,0,0,0,0,,,
      Guadeloupe,    1946 to 1950,0,0,0,0,0,0,,,
      Guadeloupe,    1951 to 1955,0,0,0,0,0,0,,,
      Guadeloupe,    1956 to 1960,0,0,0,0,0,0,,,
      Guadeloupe,    1961 to 1965,0,0,0,0,0,0,,,
      Guadeloupe,    1966 to 1970,20,0,0,20,0,0,,,
      Guadeloupe,    1971 to 1975,20,0,0,15,10,0,,,
      Guadeloupe,    1976 to 1980,10,0,0,10,0,0,,,
      Guadeloupe,    1981 to 1985,15,0,0,10,0,0,,,
      Guadeloupe,    1986 to 1990,60,0,25,25,0,0,,,
      Guadeloupe,    1991 to 1995,65,0,0,40,10,10,,,
      Guadeloupe,    1996 to 2001,80,25,10,45,0,0,,,
      Guadeloupe,  Non-permanent residents,75,0,40,30,0,0,,,
      Haiti,Total - Immigrant Status and Period of Immigration,54005,4475,6355,32195,6195,4785,,,
      Haiti,  Non-immigrants,240,60,90,80,0,10,,,
      Haiti,  Immigrants,52530,4225,6020,31420,6160,4705,,,
      Haiti,    Before 1915,0,0,0,0,0,0,,,
      Haiti,    1916 to 1920,0,0,0,0,0,0,,,
      Haiti,    1921 to 1925,10,0,0,0,0,10,,,
      Haiti,    1926 to 1930,0,0,0,0,0,0,,,
      Haiti,    1931 to 1935,0,0,0,0,0,0,,,
      Haiti,    1936 to 1940,10,0,0,0,0,10,,,
      Haiti,    1941 to 1945,25,0,0,0,20,10,,,
      Haiti,    1946 to 1950,25,0,0,0,0,25,,,
      Haiti,    1951 to 1955,30,0,0,10,0,25,,,
      Haiti,    1956 to 1960,125,0,0,20,60,50,,,
      Haiti,    1961 to 1965,325,0,0,80,140,105,,,
      Haiti,    1966 to 1970,2190,0,0,895,795,500,,,
      Haiti,    1971 to 1975,9045,0,0,5495,2705,845,,,
      Haiti,    1976 to 1980,7975,0,220,5810,1000,945,,,
      Haiti,    1981 to 1985,7375,0,980,5070,535,785,,,
      Haiti,    1986 to 1990,8135,310,1460,5385,295,685,,,
      Haiti,    1991 to 1995,10090,1670,2125,5330,455,515,,,
      Haiti,    1996 to 2001,7155,2240,1245,3325,155,185,,,
      Haiti,  Non-permanent residents,1245,195,245,695,40,70,,,
      Jamaica,Total - Immigrant Status and Period of Immigration,121810,6000,11455,72705,18425,13220,,,
      Jamaica,  Non-immigrants,545,135,65,270,45,30,,,
      Jamaica,  Immigrants,120035,5715,11210,71675,18310,13125,,,
      Jamaica,    Before 1915,0,0,0,0,0,0,,,
      Jamaica,    1916 to 1920,10,0,0,0,0,10,,,
      Jamaica,    1921 to 1925,0,0,0,0,0,0,,,
      Jamaica,    1926 to 1930,20,0,0,0,0,20,,,
      Jamaica,    1931 to 1935,10,0,0,0,0,10,,,
      Jamaica,    1936 to 1940,0,0,0,0,0,0,,,
      Jamaica,    1941 to 1945,45,0,0,0,10,40,,,
      Jamaica,    1946 to 1950,295,0,0,15,55,235,,,
      Jamaica,    1951 to 1955,875,0,0,85,180,610,,,
      Jamaica,    1956 to 1960,1515,0,0,310,400,810,,,
      Jamaica,    1961 to 1965,3340,0,0,715,1400,1225,,,
      Jamaica,    1966 to 1970,13670,0,0,5675,5080,2910,,,
      Jamaica,    1971 to 1975,24320,0,0,15815,5720,2790,,,
      Jamaica,    1976 to 1980,16880,0,375,12800,2280,1420,,,
      Jamaica,    1981 to 1985,10335,0,760,7645,890,1035,,,
      Jamaica,    1986 to 1990,17850,515,3000,12370,1105,855,,,
      Jamaica,    1991 to 1995,18705,2165,4300,10530,850,865,,,
      Jamaica,    1996 to 2001,12150,3040,2775,5705,345,280,,,
      Jamaica,  Non-permanent residents,1230,150,180,760,65,65,,,
      Martinique,Total - Immigrant Status and Period of Immigration,285,15,60,130,60,25,,,
      Martinique,  Non-immigrants,0,0,0,0,0,0,,,
      Martinique,  Immigrants,215,10,15,110,60,25,,,
      Martinique,    Before 1915,0,0,0,0,0,0,,,
      Martinique,    1916 to 1920,0,0,0,0,0,0,,,
      Martinique,    1921 to 1925,0,0,0,0,0,0,,,
      Martinique,    1926 to 1930,0,0,0,0,0,0,,,
      Martinique,    1931 to 1935,0,0,0,0,0,0,,,
      Martinique,    1936 to 1940,0,0,0,0,0,0,,,
      Martinique,    1941 to 1945,0,0,0,0,0,0,,,
      Martinique,    1946 to 1950,0,0,0,0,0,0,,,
      Martinique,    1951 to 1955,0,0,0,0,0,0,,,
      Martinique,    1956 to 1960,10,0,0,0,0,10,,,
      Martinique,    1961 to 1965,0,0,0,0,0,0,,,
      Martinique,    1966 to 1970,40,0,0,10,30,0,,,
      Martinique,    1971 to 1975,35,0,0,10,0,15,,,
      Martinique,    1976 to 1980,40,0,0,25,15,0,,,
      Martinique,    1981 to 1985,10,0,0,0,0,0,,,
      Martinique,    1986 to 1990,35,0,15,15,0,0,,,
      Martinique,    1991 to 1995,25,10,0,15,0,0,,,
      Martinique,    1996 to 2001,30,10,0,25,0,0,,,
      Martinique,  Non-permanent residents,65,10,45,15,0,0,,,
      Montserrat,Total - Immigrant Status and Period of Immigration,615,0,40,305,175,95,,,
      Montserrat,  Non-immigrants,0,0,0,0,0,0,,,
      Montserrat,  Immigrants,595,0,40,285,175,95,,,
      Montserrat,    Before 1915,0,0,0,0,0,0,,,
      Montserrat,    1916 to 1920,0,0,0,0,0,0,,,
      Montserrat,    1921 to 1925,0,0,0,0,0,0,,,
      Montserrat,    1926 to 1930,0,0,0,0,0,0,,,
      Montserrat,    1931 to 1935,0,0,0,0,0,0,,,
      Montserrat,    1936 to 1940,0,0,0,0,0,0,,,
      Montserrat,    1941 to 1945,0,0,0,0,0,0,,,
      Montserrat,    1946 to 1950,0,0,0,0,0,0,,,
      Montserrat,    1951 to 1955,0,0,0,0,0,0,,,
      Montserrat,    1956 to 1960,20,0,0,0,20,0,,,
      Montserrat,    1961 to 1965,50,0,0,10,15,20,,,
      Montserrat,    1966 to 1970,140,0,0,40,70,30,,,
      Montserrat,    1971 to 1975,115,0,0,75,25,25,,,
      Montserrat,    1976 to 1980,90,0,0,60,25,10,,,
      Montserrat,    1981 to 1985,75,0,10,50,10,10,,,
      Montserrat,    1986 to 1990,50,0,10,30,0,0,,,
      Montserrat,    1991 to 1995,30,0,0,20,0,10,,,
      Montserrat,    1996 to 2001,25,0,15,10,0,0,,,
      Montserrat,  Non-permanent residents,20,0,0,20,0,0,,,
      Netherlands Antilles,Total - Immigrant Status and Period of Immigration,555,25,45,335,70,75,,,
      Netherlands Antilles,  Non-immigrants,15,0,10,0,0,0,,,
      Netherlands Antilles,  Immigrants,520,25,35,315,70,75,,,
      Netherlands Antilles,    Before 1915,0,0,0,0,0,0,,,
      Netherlands Antilles,    1916 to 1920,0,0,0,0,0,0,,,
      Netherlands Antilles,    1921 to 1925,0,0,0,0,0,0,,,
      Netherlands Antilles,    1926 to 1930,0,0,0,0,0,0,,,
      Netherlands Antilles,    1931 to 1935,0,0,0,0,0,0,,,
      Netherlands Antilles,    1936 to 1940,0,0,0,0,0,0,,,
      Netherlands Antilles,    1941 to 1945,0,0,0,0,0,0,,,
      Netherlands Antilles,    1946 to 1950,20,0,0,0,10,10,,,
      Netherlands Antilles,    1951 to 1955,30,0,0,10,0,25,,,
      Netherlands Antilles,    1956 to 1960,40,0,0,10,10,15,,,
      Netherlands Antilles,    1961 to 1965,15,0,0,10,10,0,,,
      Netherlands Antilles,    1966 to 1970,65,0,0,45,20,0,,,
      Netherlands Antilles,    1971 to 1975,105,0,0,85,10,10,,,
      Netherlands Antilles,    1976 to 1980,70,0,0,50,10,0,,,
      Netherlands Antilles,    1981 to 1985,35,0,10,25,0,10,,,
      Netherlands Antilles,    1986 to 1990,55,0,10,45,0,0,,,
      Netherlands Antilles,    1991 to 1995,50,10,10,30,0,0,,,
      Netherlands Antilles,    1996 to 2001,40,15,10,10,0,0,,,
      Netherlands Antilles,  Non-permanent residents,20,0,0,20,0,0,,,
      Puerto Rico,Total - Immigrant Status and Period of Immigration,290,15,50,160,35,30,,,
      Puerto Rico,  Non-immigrants,25,0,10,20,0,0,,,
      Puerto Rico,  Immigrants,250,10,35,135,35,30,,,
      Puerto Rico,    Before 1915,0,0,0,0,0,0,,,
      Puerto Rico,    1916 to 1920,0,0,0,0,0,0,,,
      Puerto Rico,    1921 to 1925,0,0,0,0,0,0,,,
      Puerto Rico,    1926 to 1930,0,0,0,0,0,0,,,
      Puerto Rico,    1931 to 1935,0,0,0,0,0,0,,,
      Puerto Rico,    1936 to 1940,0,0,0,0,0,0,,,
      Puerto Rico,    1941 to 1945,0,0,0,0,0,0,,,
      Puerto Rico,    1946 to 1950,0,0,0,0,0,0,,,
      Puerto Rico,    1951 to 1955,10,0,0,0,0,10,,,
      Puerto Rico,    1956 to 1960,15,0,0,10,0,10,,,
      Puerto Rico,    1961 to 1965,10,0,0,10,0,0,,,
      Puerto Rico,    1966 to 1970,30,0,0,10,20,10,,,
      Puerto Rico,    1971 to 1975,50,0,0,35,15,0,,,
      Puerto Rico,    1976 to 1980,10,0,10,0,0,0,,,
      Puerto Rico,    1981 to 1985,25,0,0,15,0,0,,,
      Puerto Rico,    1986 to 1990,30,0,10,25,0,0,,,
      Puerto Rico,    1991 to 1995,45,10,10,30,0,0,,,
      Puerto Rico,    1996 to 2001,35,0,10,15,0,0,,,
      Puerto Rico,  Non-permanent residents,15,10,10,10,0,0,,,
      Saint Kitts and Nevis,Total - Immigrant Status and Period of Immigration,2475,50,105,1300,575,445,,,
      Saint Kitts and Nevis,  Non-immigrants,0,0,0,0,0,0,,,
      Saint Kitts and Nevis,  Immigrants,2465,50,105,1290,575,445,,,
      Saint Kitts and Nevis,    Before 1915,0,0,0,0,0,0,,,
      Saint Kitts and Nevis,    1916 to 1920,0,0,0,0,0,0,,,
      Saint Kitts and Nevis,    1921 to 1925,0,0,0,0,0,0,,,
      Saint Kitts and Nevis,    1926 to 1930,10,0,0,0,0,10,,,
      Saint Kitts and Nevis,    1931 to 1935,0,0,0,0,0,0,,,
      Saint Kitts and Nevis,    1936 to 1940,0,0,0,0,0,0,,,
      Saint Kitts and Nevis,    1941 to 1945,0,0,0,0,0,0,,,
      Saint Kitts and Nevis,    1946 to 1950,25,0,0,0,0,25,,,
      Saint Kitts and Nevis,    1951 to 1955,20,0,0,10,10,10,,,
      Saint Kitts and Nevis,    1956 to 1960,70,0,0,15,30,30,,,
      Saint Kitts and Nevis,    1961 to 1965,200,0,0,45,95,60,,,
      Saint Kitts and Nevis,    1966 to 1970,525,0,0,215,210,105,,,
      Saint Kitts and Nevis,    1971 to 1975,540,0,0,290,140,100,,,
      Saint Kitts and Nevis,    1976 to 1980,375,0,10,265,45,50,,,
